Comment,Emotion,processed_comment,labeled_taget
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,girl term exboyfriend come shout midnight think interested boy,0
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,d start feel resentful live country sun stubbornly refuse end september,0
i just feel so fucked up these days,anger,feel fuck day,0
i confess that i was feeling nervous as i made my way to the event venue,fear,confess feel nervous way event venue,1
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,worried feel intimidate monica meet morning incredibly welcoming feel relaxed straight away,1
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,sick cold amp feel wonder able patience whitleys month photo shoot,2
i feel like i have been a bit obnoxious in my picture posting,anger,feel like bit obnoxious picture post,0
i feel morally outraged and furious more often than i d like,anger,feel morally outraged furious d like,0
i feel pissed my friend didnt offer me a soda,anger,feel pissed friend not offer soda,0
i feel our hearts are treading dangerous territory,anger,feel heart tread dangerous territory,0
i feel frightened by it all,fear,feel frightened,1
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,know pleasant feel selfish say think fall apart,0
i feel shafted or greedy,anger,feel shafted greedy,0
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,crappy week feel agitated like day wasn t want,1
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,feel rebellious don t particularly like watch romcom feeling pretty good write,0
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,feel reluctant leave like help repay goodness,1
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,ashamed feel like moment terrified cry child dead one,1
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,wake morning voice throat feel ok afternoon scratchy sound like marge simpson night bad throat sore whisper,2
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,ve nervous like feel like talente enter official contest,2
i feel a bit pissed off because we went first,anger,feel bit pissed go,0
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,feel satisfied know dirt hair long car house,2
i really like how the special edition really does feel special with songs on it,joy,like special edition feel special song,2
i would accept your gift without feeling mad,anger,accept gift feel mad,0
i feel hesitant to do it since i don t have any experience with programming and all,fear,feel hesitant don t experience programming,1
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger,feel particularly bitchy not think adequately express appreciation,0
i do feel confused,fear,feel confused,1
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger,m professor look like spitball friend die cry pillow night feel dangerous tickle jealousy lure lair,0
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,didn t feel rush finish million thing able focus task separately,0
i feel so tortured,anger,feel tortured,0
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,dunno feel completely happy real world teach struggle m go close struggle,2
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy,feel like take role grandmother beloved grandma long,2
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear,fear people ask feeling reluctant talk thing,1
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear,smile start feel like uptight comment jaw fall right head,1
i feel so comfortable around him,joy,feel comfortable,2
i feel completely unsure of any boundaries or normalcy,fear,feel completely unsure boundary normalcy,1
i think of or feel gratitude i think of my kind and gracious heavenly father,joy,think feel gratitude think kind gracious heavenly father,2
im feeling really really left out and somewhat dissatisfied with everything,anger,m feel leave somewhat dissatisfied,0
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear,simply say sorry get car get house feel restless,1
i am feeling weird and feel wanna know,fear,feel weird feel wanna know,1
i had an incredible feeling of frantic despair,fear,incredible feeling frantic despair,1
i feel reluctant to sell but hey,fear,feel reluctant sell hey,1
i take a long sip and feel the cold sensation of the iced capp,anger,long sip feel cold sensation iced capp,0
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,wasn t feeling pressure long race expect,1
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,hope understand feel angry not support hat rule turn school event san hat,0
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,remember feel terrified feel entire life affect ve think account trauma,1
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,confess feeling not bring scared lose,1
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,m clearly influence dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rush enjambment sonnet,0
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger,pray eye read mind comprehend heart feel offend,0
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy,m afraid go feel like lot people group feel like cool small group hang,2
the possibility of having failed the examination,fear,possibility having fail examination,1
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy,feel thankful country train outdoors late year bundle wear layer,2
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger,feel grouchy morning not sleep night purpose,0
i feel like the earthquake has also shaken the foundations of my life and work,fear,feel like earthquake shake foundation life work,1
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger,able recreate feeling cold fog await tomorrow night,0
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy,wake feel positive totally mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea,2
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,straight point defination romance feeling anger feeling suspicious feeling,1
i feel so bitchy and mean and terrible,anger,feel bitchy mean terrible,0
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger,feel envious post regular interesting wish feel way,0
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy,feel like try stay faithful possible perceive real event happen mountain,2
i feel assaulted the new kid whined,fear,feel assault new kid whine,1
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger,ve long road initially feel like rude turn food bring eat stuff gluten free look delicious maybe not feel good eat mediocre wedding cake example,0
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,want sure not feel rush get century college friday afternoon,0
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,d kick gear feel irritable motivation,0
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,feel productive college productivity gear ill chalk idea art project summer train army attack pigeon tiny uninhabited island,2
i have a feeling that your father already convinced him of that,joy,feeling father convince,2
i feel im not bothered by that,anger,feel m bother,0
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger,p sit beat m feel far rebellious today basically m feel angry world time,0
im totally feeling bitchy and resentful about it,anger,m totally feel bitchy resentful,0
i drove to class i was feeling a little apprehensive but still no sweat,fear,drive class feel little apprehensive sweat,1
i feel so wronged but what can i do,anger,feel wrong,0
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,feel weird feel like wanna curse bang head wall world focus,1
i feel suspicious of wrinkle prevention beauty products for some reason,fear,feel suspicious wrinkle prevention beauty product reason,1
i feel you see frantic and thus i am afraid,fear,feel frantic afraid,1
i am feeling so grumpy today,anger,feel grumpy today,0
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,feel get know student pretty talk parent drop student day,2
i cant help but feel suspicious of everything,fear,not help feel suspicious,1
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy,make difference parent open easy talk teacher feel perfect fit child,2
i feel a little bit frightened of islam,fear,feel little bit frightened islam,1
im with her i feel terrific,joy,m feel terrific,2
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy,feel like insecurity good thing start write picture,2
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,deep feeling alaska cold snowy big open land pine tree mountain m destine live southern california,0
i didn t feel like she was shy so much as taking it all in as her mother has described her,fear,didn t feel like shy take mother describe,1
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,feel like time get ring intimidate arm leg not try,1
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger,m feel cranky cantankerous resentful like house slave basically mother know rely heavily alcohol marijuana separation divorce space sanity away maternal responsibility,0
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,go crazy thank god craving fruit chocolate cold gross wind blow neck feel mad angry crappy,0
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,m convinced make talking feel sincere execution maybe theme life large fathom s point feel like emotionless pit self craving attention,2
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,begin feel apprehensive thick black rain cloud storm sky town,1
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,think pop automatically see picture people make feel insecure,1
i shut the door but i didn t feel triumphant,joy,shut door didn t feel triumphant,2
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,feel cold breath neck whisper hertha run finger neck,0
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger,feel like life give plenty change shine piss,0
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger,feel grumpy woman problem grumpy year old want way kind grumpy don t think s difference,0
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,feel like m element pleased surround adorable tiny garment,2
i know you feel tortured reading this,anger,know feel tortured read,0
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy,feeling hell casual favorite blue red heavy color casual table tournament deck red popular possibly blue step place zendikar block rotate,2
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger,think valid complaint not willing deal aspect imagine subjective make sure cover base moment feel dangerous despite cover,0
i feel like it must be a popular choice to have alterations done elsewhere,joy,feel like popular choice alteration,2
i feel bothered,anger,feel bothered,0
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger,notice start feel irritated easily annoy thing feel tiny ache inside unnoticeable day tiny hair burrow way foot,0
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear,say emotion feel freak fearful anxiety well chest,1
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy,understand extremely positive attribute overshadow weakness subconsciously people wire feel superior treat differently,2
i find it very hard to feel relaxed for more than hours,joy,find hard feel relaxed hour,2
i am just feeling grumpy and sore,anger,feel grumpy sore,0
i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear,assumption base think feel ve wonder strange thing,1
i feel your motivation will be satisfied when you read this write up also who understands,joy,feel motivation satisfied read write understand,2
i walk in the door to my house i feel happy,joy,walk door house feel happy,2
i feel more terrified than the customers will be in my maze,fear,feel terrified customer maze,1
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear,find email scott dale read frusterate feel need post world neurotic freak,1
i have been neglecting the feeling of people around me i was stubborn,anger,neglect feeling people stubborn,0
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,sneakily listen x mas music beginning october feel little socially acceptable prance eartha kitt s version santa baby blare ipod,2
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear,didn t feel terrified nervous normally type situation,1
i typically respond when i feel offended,anger,typically respond feel offended,0
i am wearing and feeling confident about myself,joy,wear feel confident,2
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,feel like fearful throw leg tube surgery,1
i feel unprotected if i do though,fear,feel unprotected,1
im feeling artistic today,joy,m feel artistic today,2
i confess to feeling a bit nervous now though there are some very talented people in the group,fear,confess feel bit nervous talented people group,1
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,manage eat usually race morning jon not feel nervous,1
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,read post spend emotional mental energy argue head feel irritated,0
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear,feel pressured time succumb fear insecurity thankfully able hold,1
i feel my strengths are that i m very determined motivated in the workout room,joy,feel strength m determined motivated workout room,2
im feeling doubtful about my writing dreams to know shes behind me,fear,m feel doubtful writing dream know s,1
i feel so enraged that i want to punch him but i don t because he s only years old,anger,feel enraged want punch don t s year old,0
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,actually feel like buy smell amazing,2
i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear,think soon well feel greg m distressed mood mom,1
im so excited but feeling kind of shy about it smile,fear,m excited feel kind shy smile,1
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,wear feel anxious visable spotlight different unfashionable stupid embarrassed ashamed paranoid,1
i feel like im back to the arms of a beloved last seen a long time ago,joy,feel like m arm beloved see long time ago,2
i feel satisfied and happy with my choices today,joy,feel satisfied happy choice today,2
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy,walk away feel inspire excite realistic thing increase blog s chance find,2
i feeling confused with my life and want to know why my life,fear,feel confused life want know life,1
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,look disappoint little show evening apparently day feel selfish,0
i was feeling and i said impatient,anger,feel say impatient,0
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,feel reluctant blog free period hp plug laptop charge make easy upload photo online,1
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,notice fabulous hide accord rest world feel keenly greatly distressed,1
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger,get stitch mile not feel foot cold etc etc,0
i feel uncomfortable when i need to sit through a bad presentations,fear,feel uncomfortable need sit bad presentation,1
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,feel option violent probably costly equally futile s problem keep man woman harm way,0
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,ve collect feel vital create precious item tribute earth power generosity,2
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger,feel fuck majorly summer m cast alternate universe go wrong way timeline m stuck world know way,0
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,friend help dress practise thai introduction session sit feel helpless,1
i feel helpless because i cannot stop it,fear,feel helpless stop,1
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger,m feel disgusted seriously not like picture take cause ve refer ugly,0
i do feel very angered though,anger,feel angered,0
i am feeling very virtuous today,joy,feel virtuous today,2
i just feel so good inside when i see people walking away with their own handmade pieces of,joy,feel good inside people walk away handmade piece,2
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,go pcm post follow appointment leave feel hopeful optimistic,2
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,wish girl ask prom accept invitation way ve heartbroken feeling m indecisive,1
im still feeling all wimpy it may be another skip around,fear,m feel wimpy skip,1
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,not feel safe room argument go room thing get rough,2
im not feeling pissed off about picking up those toys,anger,m feel piss pick toy,0
im feeling so goddamn pissed and just,anger,m feel goddamn piss,0
i hopped on the scale this morning feeling none too optimistic,joy,hop scale morning feel optimistic,2
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,appreciate award feel wonderful blog winner,2
i want to not feel shy with them i want to have fun with them,fear,want feel shy want fun,1
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear,leave movie feeling frightened convince number hold kind mystical power key government conspiracy,1
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,feel understand people hateful harmful hurt teach wrongly hurt want undo pain childhood bigotry bind life path,0
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,feel extremely pleased decide guy rupee,2
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger,feel torture moment s away,0
im feeling brave this would be nice with black tips,joy,m feel brave nice black tip,2
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,know think way ve feel skeptical paint nail red light skin red go stand cute way year old wear red nail look like s try hard look like hooker,1
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,ward epileptic patient burn body stink ward affect people come near,0
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear,grow accustomed creative freedom live dance house write song play guitar feel inhibit eye ear,1
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,extremely positive feeling divine energy quake boat shore,2
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear,feel long run hurt paulie visibly distraught result perception performance,1
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy,not mind canon d mark iii feel generous,2
i wonder how genentech feel about a hostile takeover by its global partner,anger,wonder genentech feel hostile takeover global partner,0
i feel that when i run i that is me sarah the mind am supporting this body,joy,feel run sarah mind support body,2
i feel truly impatient that this is taking so long,anger,feel truly impatient take long,0
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger,feel greedy want stuff mom ask list,0
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy,feel popular not want teach will not marry baptize not obviously,2
i dont hate you i just honestly feel so bitter towards you atm,anger,not hate honestly feel bitter atm,0
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy,don t particularly work doesn t particularly feel like s clever new,2
i sometimes feel hated but i am not it is all in my head,anger,feel hate head,0
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,feel pretty anxious overwhelmed friend rightly note probably boat mom grandmother great aunt flee damn cold baltic sea,1
i feel like i need cute pictures to share,joy,feel like need cute picture share,2
i wake up feeling triumphant,joy,wake feel triumphant,2
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy,find hard feel jolly throng people lose fervor get stuff not heart green wallet encourage constant barrage pressure angle shop buy,2
i am left feeling very confused and blah,fear,leave feel confused blah,1
i got a feeling by the look in her eyes that she was sincere,joy,get feeling look eye sincere,2
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger,think lonely feel m grouchy agitated esily airritate,0
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,fear,ve decide intentionally easy make feel wimpy admit reason girl work day job,1
im watching a movie called sharknado i feel like my intelligence is being insulted,anger,m watch movie call sharknado feel like intelligence insult,0
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear,feel apprehensive worry blow money mean pay rego,1
i still feel like i get walked all over but well i m trying,joy,feel like walk m try,2
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger,tell continue way start feel frustrated let know calm way,0
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy,feel like boy disadvantage miss exciting entertainment home child feel like precious opportunity close familiar nature,2
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger,capable late ve feel pretty bitter depressed lot gratitude general,0
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy,feel joy excitement opportunity receive vital ordinance,2
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger,worry time ve spend computer feel distracted party,0
i feel like i cant be brave,joy,feel like not brave,2
i wish i could call off the wedding just so i can feel carefree again,joy,wish wedding feel carefree,2
i didnt feel scared at all,fear,not feel scared,1
i feel really contented just listening to the song,joy,feel content listen song,2
i dont know who i like i feel so bitchy and flirty,anger,not know like feel bitchy flirty,0
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear,ve urgent feeling write tell file feel feel hesitant fear lead,1
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear,start develop feeling scare freak promise safe,1
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear,guess avoid boundary conversation feel little unsure confidence strength,1
im so damn tired and i feel a little grouchy,anger,m damn tired feel little grouchy,0
i was feeling quite something im not sure,joy,feel m sure,2
i feel rude feel free to grab the seat next to me,anger,feel rude feel free grab seat,0
im contemplating and feeling skeptical,fear,m contemplate feel skeptical,1
i feel irritated useless and hopeless,anger,feel irritated useless hopeless,0
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger,don t feel bother get credit equal get debt interest,0
i hurt your feelings or angered you with my last rant im sorry,anger,hurt feeling anger rant m sorry,0
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger,feel angry feel self conscious short wish not,0
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger,feel petty thing extent human feel war start stupid little thing try understand thing love people feel jealous lead murder unhappiness,0
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger,feel pretty cranky morning stop feel lot well,0
i was just yesterday feeling uncomfortable with highschool sigh,fear,yesterday feel uncomfortable highschool sigh,1
i feel better now on the menu tonight,joy,feel well menu tonight,2
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,fear,feel hesitant positive try hold breath speak matter know shaun pass dlpt,1
i feel stressed out i would watch movies alone or just walk on the streets alone,anger,feel stress watch movie walk street,0
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy,slough carapace crud envelop past thirty odd hour feel invigorated finally ready face day,2
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,joy,discover give great feeling satisfaction produce blog post delicious dish photo write recipe tangible job complete feeling s rare life stay home mom,2
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy,feel lot pressure determined finish visit sister clear conscience,2
